target,data_type,top_level_directory,eclipse,segment,instrument,filter,subarray,readout_mode,groups_per_integration,relative_path,filename,size_bytes,sha256
GJ 3929 b,real_observation,GJ_3929b_Observations,eclipse1,001,JWST/MIRI,F1500W,SUB128,FASTR1,47,GJ_3929b_Observations/eclipse1/jw09235001001_03101_00001-seg001_mirimage_uncal.fits,jw09235001001_03101_00001-seg001_mirimage_uncal.fits,1386921600,120a9018aedc57eeaf456a7b94388cc662d6c825156f7e593754c26089fc7c0e
GJ 3929 b,real_observation,GJ_3929b_Observations,eclipse1,002,JWST/MIRI,F1500W,SUB128,FASTR1,47,GJ_3929b_Observations/eclipse1/jw09235001001_03101_00001-seg002_mirimage_uncal.fits,jw09235001001_03101_00001-seg002_mirimage_uncal.fits,1386921600,bfe0f79d996456023ed1c6e299431eb7f955c8dc61f95f062cb816038ff5a496
GJ 3929 b,real_observation,GJ_3929b_Observations,eclipse1,003,JWST/MIRI,F1500W,SUB128,FASTR1,47,GJ_3929b_Observations/eclipse1/jw09235001001_03101_00001-seg003_mirimage_uncal.fits,jw09235001001_03101_00001-seg003_mirimage_uncal.fits,1386921600,6bf6ae143c7728d4203b14659f4f60c09164197e31d8b2526e9e0ab684b8517c
GJ 3929 b,real_observation,GJ_3929b_Observations,eclipse1,004,JWST/MIRI,F1500W,SUB128,FASTR1,47,GJ_3929b_Observations/eclipse1/jw09235001001_03101_00001-seg004_mirimage_uncal.fits,jw09235001001_03101_00001-seg004_mirimage_uncal.fits,1386921600,b927af11e03d2d460f10df9770d6372fe1dd4c2dfe8d9ecfd8efbcf39854b305
GJ 3929 b,real_observation,GJ_3929b_Observations,eclipse1,005,JWST/MIRI,F1500W,SUB128,FASTR1,47,GJ_3929b_Observations/eclipse1/jw09235001001_03101_00001-seg005_mirimage_uncal.fits,jw09235001001_03101_00001-seg005_mirimage_uncal.fits,1380781440,5a0cac015579677865b89892008ab0a3645289b9bc0f4d4c4433949cd216ac16
GJ 3929 b,real_observation,GJ_3929b_Observations,eclipse2,001,JWST/MIRI,F1500W,SUB128,FASTR1,47,GJ_3929b_Observations/eclipse2/jw09235002001_03101_00001-seg001_mirimage_uncal.fits,jw09235002001_03101_00001-seg001_mirimage_uncal.fits,1317415680,a9ec528142baa689fd196d8527cb9c9a71c6aac195d65699ccba1d58c3a4980c
GJ 3929 b,real_observation,GJ_3929b_Observations,eclipse2,002,JWST/MIRI,F1500W,SUB128,FASTR1,47,GJ_3929b_Observations/eclipse2/jw09235002001_03101_00001-seg002_mirimage_uncal.fits,jw09235002001_03101_00001-seg002_mirimage_uncal.fits,1317415680,f98c14eed573b6967cc2c59736d68946f6cbc39036da31295d356cd6d5ba70c5
GJ 3929 b,real_observation,GJ_3929b_Observations,eclipse2,003,JWST/MIRI,F1500W,SUB128,FASTR1,47,GJ_3929b_Observations/eclipse2/jw09235002001_03101_00001-seg003_mirimage_uncal.fits,jw09235002001_03101_00001-seg003_mirimage_uncal.fits,1317415680,ca6fd27d9a6474f0bb74c0535eecea2aa3a614c4dffcb0936de3c9c1711bb727
GJ 3929 b,real_observation,GJ_3929b_Observations,eclipse2,004,JWST/MIRI,F1500W,SUB128,FASTR1,47,GJ_3929b_Observations/eclipse2/jw09235002001_03101_00001-seg004_mirimage_uncal.fits,jw09235002001_03101_00001-seg004_mirimage_uncal.fits,1317415680,a0aa21b02a439af34de07525fc0da3112c087e64ef2d37dff5d8585bcb70f288
GJ 3929 b,real_observation,GJ_3929b_Observations,eclipse2,005,JWST/MIRI,F1500W,SUB128,FASTR1,47,GJ_3929b_Observations/eclipse2/jw09235002001_03101_00001-seg005_mirimage_uncal.fits,jw09235002001_03101_00001-seg005_mirimage_uncal.fits,1317415680,740f3bf90a0986e1ef509b6804b3f9e707a492504c9c11c767a4d3f577041081
GJ 3929 b,real_observation,GJ_3929b_Observations,eclipse2,006,JWST/MIRI,F1500W,SUB128,FASTR1,47,GJ_3929b_Observations/eclipse2/jw09235002001_03101_00001-seg006_mirimage_uncal.fits,jw09235002001_03101_00001-seg006_mirimage_uncal.fits,1315370880,13333c7ed2e315792c3c63f54f031a1997aa0508ae6bd4a6cd36cc863becd4d2
GJ 3929 b,real_observation,GJ_3929b_Observations,eclipse3,001,JWST/MIRI,F1500W,SUB128,FASTR1,47,GJ_3929b_Observations/eclipse3/jw09235003001_03101_00001-seg001_mirimage_uncal.fits,jw09235003001_03101_00001-seg001_mirimage_uncal.fits,1331688960,293ad752bc5bb01625114d9cfd617e3b0e69d67a1d337012a4d30778bf49ea75
GJ 3929 b,real_observation,GJ_3929b_Observations,eclipse3,002,JWST/MIRI,F1500W,SUB128,FASTR1,47,GJ_3929b_Observations/eclipse3/jw09235003001_03101_00001-seg002_mirimage_uncal.fits,jw09235003001_03101_00001-seg002_mirimage_uncal.fits,1325554560,d745df55e662ba4dc40532b0e43148cecb14ce15805422d4c0b175751ad8b4aa
GJ 3929 b,real_observation,GJ_3929b_Observations,eclipse3,003,JWST/MIRI,F1500W,SUB128,FASTR1,47,GJ_3929b_Observations/eclipse3/jw09235003001_03101_00001-seg003_mirimage_uncal.fits,jw09235003001_03101_00001-seg003_mirimage_uncal.fits,1325554560,15486361ed94803106137b3a4c9037e341920d2ee90a51e3d70334088dbbb90d
GJ 3929 b,real_observation,GJ_3929b_Observations,eclipse3,004,JWST/MIRI,F1500W,SUB128,FASTR1,47,GJ_3929b_Observations/eclipse3/jw09235003001_03101_00001-seg004_mirimage_uncal.fits,jw09235003001_03101_00001-seg004_mirimage_uncal.fits,1325554560,75a3ff5df43231ff47d37fb6fbf1d0e0f6dbba0e22e05c893dad6af1dfda139d
GJ 3929 b,real_observation,GJ_3929b_Observations,eclipse3,005,JWST/MIRI,F1500W,SUB128,FASTR1,47,GJ_3929b_Observations/eclipse3/jw09235003001_03101_00001-seg005_mirimage_uncal.fits,jw09235003001_03101_00001-seg005_mirimage_uncal.fits,1325554560,458fb08202516c1bd2835e954191fad68b392dced8287da25aa7b73bb90957ac
GJ 3929 b,real_observation,GJ_3929b_Observations,eclipse3,006,JWST/MIRI,F1500W,SUB128,FASTR1,47,GJ_3929b_Observations/eclipse3/jw09235003001_03101_00001-seg006_mirimage_uncal.fits,jw09235003001_03101_00001-seg006_mirimage_uncal.fits,1325554560,899f47c71e06475cd3977759060a94c27ae642982b0652f9372971f92c1eaf4f
GJ 3929 b,real_observation,GJ_3929b_Observations,eclipse4,001,JWST/MIRI,F1500W,SUB128,FASTR1,47,GJ_3929b_Observations/eclipse4/jw09235004001_03101_00001-seg001_mirimage_uncal.fits,jw09235004001_03101_00001-seg001_mirimage_uncal.fits,1219181760,29f0194e03f87632b9ed655a203f0ea3d7b0bfd4e08e045e65e61e254f365a0e
GJ 3929 b,real_observation,GJ_3929b_Observations,eclipse4,002,JWST/MIRI,F1500W,SUB128,FASTR1,47,GJ_3929b_Observations/eclipse4/jw09235004001_03101_00001-seg002_mirimage_uncal.fits,jw09235004001_03101_00001-seg002_mirimage_uncal.fits,1219181760,815c5dfb2f2efc8b1d96651b7491fa566b4055962fa300a610f472f53648d53f
GJ 3929 b,real_observation,GJ_3929b_Observations,eclipse4,003,JWST/MIRI,F1500W,SUB128,FASTR1,47,GJ_3929b_Observations/eclipse4/jw09235004001_03101_00001-seg003_mirimage_uncal.fits,jw09235004001_03101_00001-seg003_mirimage_uncal.fits,1219181760,b898c580cd485bb57e4aff79cd8f4c516ffb73cd079bce95992e71d7ea64ea1e
GJ 3929 b,real_observation,GJ_3929b_Observations,eclipse4,004,JWST/MIRI,F1500W,SUB128,FASTR1,47,GJ_3929b_Observations/eclipse4/jw09235004001_03101_00001-seg004_mirimage_uncal.fits,jw09235004001_03101_00001-seg004_mirimage_uncal.fits,1219181760,300fb16f39beba692f41e5e5389eac23118deb07e11c1d10c6619a3a77bb56b0
GJ 3929 b,real_observation,GJ_3929b_Observations,eclipse4,005,JWST/MIRI,F1500W,SUB128,FASTR1,47,GJ_3929b_Observations/eclipse4/jw09235004001_03101_00001-seg005_mirimage_uncal.fits,jw09235004001_03101_00001-seg005_mirimage_uncal.fits,1219181760,fdaa71971bb00afd6c6ae9526f5ee0ab5b68399b265c02cc824c2f16150fba85
GJ 3929 b,real_observation,GJ_3929b_Observations,eclipse4,001,JWST/MIRI,F1500W,SUB128,FASTR1,47,GJ_3929b_Observations/eclipse4/jw09235005001_02101_00001-seg001_mirimage_uncal.fits,jw09235005001_02101_00001-seg001_mirimage_uncal.fits,1116947520,f52620a8f6ceb999a890a30125377d96d4c8d3f6824eb992c597e4f469e5a637
GJ 3929 b,real_observation,GJ_3929b_Observations,eclipse4,002,JWST/MIRI,F1500W,SUB128,FASTR1,47,GJ_3929b_Observations/eclipse4/jw09235005001_02101_00001-seg002_mirimage_uncal.fits,jw09235005001_02101_00001-seg002_mirimage_uncal.fits,1116947520,540b4854bf2ca7161299ce2f1a27c4568874def0f508a201d9b90cc2acff0e95
GJ 3929 b,real_observation,GJ_3929b_Observations,eclipse4,003,JWST/MIRI,F1500W,SUB128,FASTR1,47,GJ_3929b_Observations/eclipse4/jw09235005001_02101_00001-seg003_mirimage_uncal.fits,jw09235005001_02101_00001-seg003_mirimage_uncal.fits,1114899840,9bbae0400add8c51064dd5a9aa1b4470f0a686943835b202a2d5f95ebaff4576
