target,data_type,top_level_directory,eclipse,segment,instrument,filter,subarray,readout_mode,groups_per_integration,relative_path,filename,size_bytes,sha256
LHS 1140 b,simulation,LHS_1140b_Simulations,eclipse1,001,JWST/MIRI,F1500W,SUB256,FASTR1,45,LHS_1140b_Simulations/eclipse1/eclipse1-seg001_mirimage_uncal.fits,eclipse1-seg001_mirimage_uncal.fits,1998115200,19b04d972c05b0dd58e5ecf4999274ba2036a9b3edcedc1a83612c4437c5f386
LHS 1140 b,simulation,LHS_1140b_Simulations,eclipse1,002,JWST/MIRI,F1500W,SUB256,FASTR1,45,LHS_1140b_Simulations/eclipse1/eclipse1-seg002_mirimage_uncal.fits,eclipse1-seg002_mirimage_uncal.fits,1998115200,e5d7c1b9dc8e5f2a18b765364d33ec03e674155a9b737c19351c554371822735
LHS 1140 b,simulation,LHS_1140b_Simulations,eclipse1,003,JWST/MIRI,F1500W,SUB256,FASTR1,45,LHS_1140b_Simulations/eclipse1/eclipse1-seg003_mirimage_uncal.fits,eclipse1-seg003_mirimage_uncal.fits,1998115200,c631ca81eaf646b5bc7ca323ae6595094015ae9708a8fd232a53cbc877c61349
LHS 1140 b,simulation,LHS_1140b_Simulations,eclipse1,004,JWST/MIRI,F1500W,SUB256,FASTR1,45,LHS_1140b_Simulations/eclipse1/eclipse1-seg004_mirimage_uncal.fits,eclipse1-seg004_mirimage_uncal.fits,1998115200,4defe00a2662a74befc4e3c34f7fb903114392417d80b32549772b69d0e47462
LHS 1140 b,simulation,LHS_1140b_Simulations,eclipse1,005,JWST/MIRI,F1500W,SUB256,FASTR1,45,LHS_1140b_Simulations/eclipse1/eclipse1-seg005_mirimage_uncal.fits,eclipse1-seg005_mirimage_uncal.fits,1998115200,a9feab7c84c7b3f146711c64e9e3c3e5cd4e9986483bf1f9eb74fd4b3b89ed79
LHS 1140 b,simulation,LHS_1140b_Simulations,eclipse1,006,JWST/MIRI,F1500W,SUB256,FASTR1,45,LHS_1140b_Simulations/eclipse1/eclipse1-seg006_mirimage_uncal.fits,eclipse1-seg006_mirimage_uncal.fits,1998115200,1edb8a5d742da6b2b7a6a9a98f05136e355f7a0c3b265f2c4055f87319896892
LHS 1140 b,simulation,LHS_1140b_Simulations,eclipse1,007,JWST/MIRI,F1500W,SUB256,FASTR1,45,LHS_1140b_Simulations/eclipse1/eclipse1-seg007_mirimage_uncal.fits,eclipse1-seg007_mirimage_uncal.fits,1998115200,2339f39d1ed6f3b8907139ee5dc9b94012293337522dc7e752449a3204242898
LHS 1140 b,simulation,LHS_1140b_Simulations,eclipse1,008,JWST/MIRI,F1500W,SUB256,FASTR1,45,LHS_1140b_Simulations/eclipse1/eclipse1-seg008_mirimage_uncal.fits,eclipse1-seg008_mirimage_uncal.fits,1998115200,5d3a289eea36ee22caa0e7c026085c86d2b452414783e20a6c1585f096261ccc
LHS 1140 b,simulation,LHS_1140b_Simulations,eclipse1,009,JWST/MIRI,F1500W,SUB256,FASTR1,45,LHS_1140b_Simulations/eclipse1/eclipse1-seg009_mirimage_uncal.fits,eclipse1-seg009_mirimage_uncal.fits,1998115200,bfcd5fa3846af14942f0ba92e7228c7495b780a5ddae3d08d11ecf051c88ef29
LHS 1140 b,simulation,LHS_1140b_Simulations,eclipse1,010,JWST/MIRI,F1500W,SUB256,FASTR1,45,LHS_1140b_Simulations/eclipse1/eclipse1-seg010_mirimage_uncal.fits,eclipse1-seg010_mirimage_uncal.fits,1998115200,141f1c6c669018b60c68780d6fbf3da00e0b61536f6c50ea50e9ef91f6ac53f7
